Mfr PartNumber,GBWP (kHz),Supply Current (uA),GBWP/uA,min_voltage,max_voltage
S-89120ANC-1A2-TFG,35,10,4000,1.8,5.5
S-89110ANC-1A1-TFG,175,50,3600,1.8,5.5
THS4303RGTT,18000000,34000,529.4117647059,3,5
THS4303RGTTG4,18000000,34000,529.4117647059,3,5
THS4303RGTR,18000000,34000,529.4117647059,3,5
THS4303RGTRG4,18000000,34000,529.4117647059,3,5
LT6230CS6-10#TRMPBF,1450000,3300,439.3939393939,3,12.6
LT6230CS6-10#TR,1450000,3300,439.3939393939,3,12.6
LT6230CS6-10#TRM,1450000,3300,439.3939393939,3,12.6
LT6230CS6-10#TRPBF,1450000,3300,439.3939393939,3,12.6
LT6230IS6-10#TRM,1450000,3300,439.3939393939,3,12.6
LT6230IS6-10#TRMPBF,1450000,3300,439.3939393939,3,12.6
LT6230IS6-10#TR,1450000,3300,439.3939393939,3,12.6
LT6230IS6-10#TRPBF,1450000,3300,439.3939393939,3,12.6
LT6233CS6-10#TRMPBF,375000,1150,326.0869565217,3,12.6
LT6233IS6-10#TRMPBF,375000,1150,326.0869565217,3,12.6
LT6233CS6-10#TR,375000,1150,326.0869565217,3,12.6
LT6233CS6-10#TRPBF,375000,1150,326.0869565217,3,12.6
LT6233IS6-10#TRM,375000,1150,326.0869565217,3,12.6
LT6233IS6-10#TR,375000,1150,326.0869565217,3,12.6
LT6233IS6-10#TRPBF,375000,1150,326.0869565217,3,12.6
LT6233CS6-10#TRM,375000,1150,326.0869565217,3,12.6
THS4302RGTR,12000000,37000,324.3243243243,3,5
THS4302RGTRG4,12000000,37000,324.3243243243,3,5
THS4302RGTT,12000000,37000,324.3243243243,3,5
THS4302RGTTG4,12000000,37000,324.3243243243,3,5
MAX9625AKA+T,200000,1000,200,2,5.25
MAX9623AXK+T,200000,1000,200,2,5.25
MAX9625AXA+T,200000,1000,200,2,5.25
LTC6362IMS8#PBF,180000,1000,180,2.8,5.25
LTC6362HMS8#PBF,180000,1000,180,2.8,5.25
LTC6362HDD#PBF,180000,1000,180,2.8,5.25
LTC6362CDD#PBF,180000,1000,180,2.8,5.25
LTC6362CDD#TRPBF,180000,1000,180,2.8,5.25
LTC6362CMS8#TRPBF,180000,1000,180,2.8,5.25
LTC6362IDD#PBF,180000,1000,180,2.8,5.25
LTC6362IDD#TRPBF,180000,1000,180,2.8,5.25
LTC6362IMS8#TRPBF,180000,1000,180,2.8,5.25
LTC6362HDD#TRPBF,180000,1000,180,2.8,5.25
LTC6362HMS8#TRPBF,180000,1000,180,2.8,5.25
LTC6362CMS8#PBF,180000,1000,180,2.8,5.25
BUF602ID,1000000,5800,172.4137931034,2.8,12.6
BUF602IDBVT,1000000,5800,172.4137931034,2.8,12.6
BUF602IDBVR,1000000,5800,172.4137931034,2.8,12.6
BUF602IDR,1000000,5800,172.4137931034,2.8,12.6
BUF602IDBVRG4,1000000,5800,172.4137931034,2.8,12.6
BUF602IDRG4,1000000,5800,172.4137931034,2.8,12.6
BUF602IDBVTG4,1000000,5800,172.4137931034,2.8,12.6
BUF602IDG4,1000000,5800,172.4137931034,2.8,12.6
LTC6252HS6#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253CTS8#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253CMS8#PBF,720000,4250,169.4117647059,2.5,5.25
LTC6253HMS8#PBF,720000,4250,169.4117647059,2.5,5.25
LTC6254CMS#PBF,720000,4250,169.4117647059,2.5,5.25
LTC6252CS6#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6252CS6#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6252IS6#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6252IS6#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6252HS6#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253CMS8#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253CDC#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253CDC#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253CTS8#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253CMS#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253IMS8#PBF,720000,4250,169.4117647059,2.5,5.25
LTC6253IMS8#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253IDC#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253ITS8#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253IDC#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253ITS8#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253IMS#PBF,720000,4250,169.4117647059,2.5,5.25
LTC6253IMS#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253HTS8#TRMPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253HTS8#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6253HMS8#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6254CMS#TRPBF,720000,4250,169.4117647059,2.5,5.25
LTC6254IMS#PBF,720000,4250,169.4117647059,2.5,5.25
