en.dm00109906,STMicroelectronics,CS70P,typ_supply_current,200 uA,ffe002af_0.csv
en.cd00000533,STMicroelectronics,LM2902DT,typ_supply_current,1.5 mA,ffe002af_0.csv
en.cd00000533,STMicroelectronics,LM2902DT,typ_gbp,1.3 MHz,ffe002af_0.csv
en.cd00000533,STMicroelectronics,LM2902Q4T,typ_supply_current,1.5 mA,ffe002af_0.csv
en.cd00000533,STMicroelectronics,LM2902Q4T,typ_gbp,1.3 MHz,ffe002af_0.csv
lm324-d,ON Semiconductor,LM324DR2G,typ_supply_current,1.4 mA,ffe002af_0.csv
lm324-d,ON Semiconductor,LM324DR2G,typ_gbp,1 MHz,ffe002af_0.csv
lm324-d,ON Semiconductor,LM224DR2G,typ_supply_current,1.4 mA,ffe002af_0.csv
lm324-d,ON Semiconductor,LM224DR2G,typ_gbp,1 MHz,ffe002af_0.csv
en.cd00000533,STMicroelectronics,LM2902PT,typ_supply_current,1.5 mA,ffe002af_0.csv
en.cd00000533,STMicroelectronics,LM2902PT,typ_gbp,1.3 MHz,ffe002af_0.csv
en.cd00000492,STMicroelectronics,TL082CDT,typ_supply_current,1.4 mA,ffe002af_0.csv
en.cd00000492,STMicroelectronics,TL082CDT,typ_gbp,4 MHz,ffe002af_0.csv
en.cd00000492,STMicroelectronics,TL082CPT,typ_supply_current,1.4 mA,ffe002af_0.csv
en.cd00000492,STMicroelectronics,TL082CPT,typ_gbp,4 MHz,ffe002af_0.csv
en.cd00000492,STMicroelectronics,TL082IDT,typ_supply_current,1.4 mA,ffe002af_0.csv
en.cd00000492,STMicroelectronics,TL082IDT,typ_gbp,4 MHz,ffe002af_0.csv
tl051,Texas Instruments,TL052CDR,typ_supply_current,4.8 mA,ffe002af_0.csv
tl051,Texas Instruments,TL052CDR,typ_gbp,3 MHz,ffe002af_0.csv
ncs20071-d,ON Semiconductor,NCS20072DR2G,typ_supply_current,465 uA,ffe002af_1.csv
ncs20071-d,ON Semiconductor,NCS20072DR2G,typ_gbp,3.2 MHz,ffe002af_1.csv
tlv274-q1,Texas Instruments,TLV271QDBVRQ1,typ_supply_current,750 uA,ffe002af_1.csv
