Document,GBWP (kHz),sent,p
MONOLITHICPOWERSYSTEMSINC_MP8104DJ-LF-P,4000.0,121,0.023278508
MONOLITHICPOWERSYSTEMSINC_MP8104DJ-LF-P,200.0,134,0.00090441614
MONOLITHICPOWERSYSTEMSINC_MP8104DJ-LF-P,4000.0,131,0.00027601575
MONOLITHICPOWERSYSTEMSINC_MP8104DJ-LF-P,4000.0,126,0.011721311
MONOLITHICPOWERSYSTEMSINC_MP8104DJ-LF-P,20000.0,139,0.067792535
MONOLITHICPOWERSYSTEMSINC_MP8104DJ-LF-P,400000.0,124,0.996089
MONOLITHICPOWERSYSTEMSINC_MP8104DJ-LF-P,1000.0,129,0.014502742
MONOLITHICPOWERSYSTEMSINC_MP5420DM-LF,500000.0,256,0.0012168422
NCS199-D,40.0,311,0.02334168
MP8101_R1.0,4000.0,138,0.023196165
MONOLITHICPOWERSYSTEMSINC_MP5420DM-LF,14000.0,266,0.96404815
MONOLITHICPOWERSYSTEMSINC_MP5420DM-LF,20000.0,261,0.053163704
NCS199-D,10.0,307,0.0014926702
MP8101_R1.0,4000.0,148,0.00027501676
MONOLITHICPOWERSYSTEMSINC_MP5420DM-LF,45000.0,251,0.0019232478
NCS199-D,10.0,307,0.0015062175
MP8101_R1.0,200.0,151,0.00090204645
MICROCHIPTECHNOLOGY_MIC923YC5-TR,410000.0,281,0.9796882
MONOLITHICPOWERSYSTEMSINC_MP5420DM-LF,70000.0,276,0.03203552
NCS199-D,0.4,315,0.001495303
MP8101_R1.0,1000.0,146,0.028782787
MICROCHIPTECHNOLOGY_MIC923YC5-TR,320000.0,172,0.9083079
NCS199-D,100.0,309,0.12082314
MP8101_R1.0,20000.0,156,0.067726485
MICROCHIPTECHNOLOGY_MIC922YC5-TR,200000.0,172,0.9194124
MONOLITHICPOWERSYSTEMSINC_MP5420DM-LF,50000.0,271,0.010224591
MP118U,56000.0,195,0.9298586
NCS210-D,0.4,349,0.0011834529
NCS2006-D,1200.0,791,4.4727585e-05
NCS199-D,10.0,307,0.003947405
MP8101_R1.0,4000.0,143,0.011707313
MICROCHIPTECHNOLOGY_MIC923YC5-TR,70000.0,292,0.06377276
NCS210-D,40.0,344,0.010231406
