Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,BC546-D,BC546,30,Gold vals: ['65'],Invalid value.,,Bot
FP,BC546-D,BC547ARLG,65,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC547ARL,65,Gold vals: ['45'],Invalid value.,,Bot
FP,DIODS13249-1,BC817,25,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC548CG,45,Gold vals: ['30'],Invalid value.,,Bot
FP,BC546-D,BC546BRL1,30,Gold vals: ['65'],Invalid value.,,Bot
FP,DIODS13249-1,BC817-16,25,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC547B,30,Gold vals: ['45'],Invalid value.,,Bot
FP,CSEMS05382-1,BC546B,45,Gold vals: ['65'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT3G,200,Gold vals: ['300'],Invalid value.,,Bot
FP,BC546-D,BC546BG,45,Gold vals: ['65'],Invalid value.,,Bot
FP,BC546-D,BC548CZL1G,45,Gold vals: ['30'],Invalid value.,,Bot
FP,DIODS13249-1,BC817-40,25,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC546BZL1G,30,Gold vals: ['65'],Invalid value.,,Bot
FP,DIODS13249-1,BC817-25,25,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC546BG,30,Gold vals: ['65'],Invalid value.,,Bot
FP,DIODS13249-1,BC818-40,45,Gold vals: ['25'],Invalid value.,,Bot
FP,BC546-D,BC548BZL1G,65,Gold vals: ['30'],Invalid value.,,Bot
FP,SANKEN_STD01N,STD01P,30,Gold vals: ['150'],Invalid value.,,Bot
FP,BC546-D,BC547A,65,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC548C,45,Gold vals: ['30'],Invalid value.,,Bot
FP,CSEMS05382-1,BC547,65,Gold vals: ['45'],Invalid value.,,Bot
FP,CSEMS05382-1,BC547B,30,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC547BZL1G,30,Gold vals: ['45'],Invalid value.,,Bot
FP,CSEMS05382-1,BC548,45,Gold vals: ['30'],Invalid value.,,Bot
FP,BC546-D,BC547AZL1G,30,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC546B,45,Gold vals: ['65'],Invalid value.,,Bot
FP,BC546-D,BC548BZL1G,45,Gold vals: ['30'],Invalid value.,,Bot
FP,DIODS13249-1,BC818-16,45,Gold vals: ['25'],Invalid value.,,Bot
FP,BC546-D,BC548,65,Gold vals: ['30'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_BUL45D2,BUL45D2G,100,Gold vals: ['400'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1G,200,Gold vals: ['300'],Invalid value.,,Bot
FP,CSEMS05382-1,BC548A,65,Gold vals: ['30'],Invalid value.,,Bot
FP,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFHTA,140,Gold vals: ['160'],Invalid value.,,Bot
FP,CSEMS05382-1,BC547C,65,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC547BG,30,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC548B,45,Gold vals: ['30'],Invalid value.,,Bot
FP,DIODS13249-1,BC818-25,45,Gold vals: ['25'],Invalid value.,,Bot
FP,BC546-D,BC546BRL1G,45,Gold vals: ['65'],Invalid value.,,Bot
FP,CSEMS05382-1,BC548,65,Gold vals: ['30'],Invalid value.,,Bot
FP,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFH,140,Gold vals: ['160'],Invalid value.,,Bot
FP,BC546-D,BC547BRL1G,65,Gold vals: ['45'],Invalid value.,,Bot
FP,2N4123-D,2N4124,30,Gold vals: ['25'],Invalid value.,,Bot
FP,CSEMS05382-1,BC547A,30,Gold vals: ['45'],Invalid value.,,Bot
FP,BC546-D,BC548BG,45,Gold vals: ['30'],Invalid value.,,Bot
FP,BC546-D,BC546B,30,Gold vals: ['65'],Invalid value.,,Bot
FP,CSEMS05382-1,BC548A,45,Gold vals: ['30'],Invalid value.,,Bot
FP,BC546-D,BC547BRL1G,30,Gold vals: ['45'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT3G,200,Gold vals: ['300'],Invalid value.,,Bot
FP,BC546-D,BC548B,65,Gold vals: ['30'],Invalid value.,,Bot
FP,2N4123-D,2N4123RLRM,25,Gold vals: ['30'],Invalid value.,,Bot
FP,BC546-D,BC547BG,65,Gold vals: ['45'],Invalid value.,,Bot
FP,SANKEN_STD01N,STD01N,30,Gold vals: ['150'],Invalid value.,,Bot
FP,CSEMS05382-1,BC546A,45,Gold vals: ['65'],Invalid value.,,Bot
FP,BC546-D,BC546,45,Gold vals: ['65'],Invalid value.,,Bot
FP,2N4123-D,2N4124G,30,Gold vals: ['25'],Invalid value.,,Bot
FP,BC546-D,BC547AZL1G,65,Gold vals: ['45'],Invalid value.,,Bot
FP,CSEMS05382-1,BC547A,65,Gold vals: ['45'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93L,300,Gold vals: ['200'],Invalid value.,,Bot
FP,BC546-D,BC546BRL1,45,Gold vals: ['65'],Invalid value.,,Bot
FP,CSEMS05382-1,BC547C,30,Gold vals: ['45'],Invalid value.,,Bot
FP,DIODS13249-1,BC818,45,Gold vals: ['25'],Invalid value.,,Bot
FP,CSEMS05382-1,BC548B,65,Gold vals: ['30'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93LT1G,300,Gold vals: ['200'],Invalid value.,,Bot
FP,DIODESINCORPORATED_ZTX603STZ,ZTX602,80,Gold vals: ['60'],Invalid value.,,Bot
FP,BC546-D,BC547BZL1G,65,Gold vals: ['45'],Invalid value.,,Bot
FP,CSEMS05382-1,BC546B,30,Gold vals: ['65'],Invalid value.,,Bot
FP,BC546-D,BC547CG,65,Gold vals: ['45'],Invalid value.,,Bot
FP,CSEMS05382-1,BC547B,65,Gold vals: ['45'],Invalid value.,,Bot
