Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,ONSEMICONDUCTOR_BC489G,BC489AG,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MJW3281A,MJW1302A,NPN,Gold vals: ['PNP'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MJW3281A,MJW3281A,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_BC489G,BC489A,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,STMICROELECTRONICS_D45H11FP,D45H11FP,NPN,Gold vals: ['PNP'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MJW3281A,MJW1302AG,NPN,Gold vals: ['PNP'],Invalid value.,,Bot
FP,STMICROELECTRONICS_D45H11FP,D44H11FP,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,STMICROELECTRONICS_BUL804,BUL804,npn,Gold vals: ['NPN'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_MJW3281A,MJW3281AG,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,SANKEN_STD01N,STD01P,NPN,Gold vals: ['PNP'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_BC489G,BC489G,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_BC489G,BC489RL1G,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,SANKEN_STD01N,STD01N,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FP,ONSEMICONDUCTOR_BC489G,BC489,PNP,Gold vals: ['NPN'],Invalid value.,,Bot
FN,ONSEMICONDUCTOR_MPS3646G,MPS3646,NPN,Entities do not have doc ONSEMICONDUCTOR_MPS3646G.,Missing doc.,,Bot
FN,MICROSEMICORPORATION_2N2484UB,2N2484UB,NPN,Entities do not have doc MICROSEMICORPORATION_2N2484UB.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92L,PNP,"Entity parts: {'MMBTA92L': ['PNP'], 'MMBTA92LT1G': ['PNP'], 'SMMBTA92LT1G': ['PNP'], 'MMBTA92LT3G': ['PNP'], 'SMMBTA92LT3G': ['PNP'], 'MMBTA93LT1G': ['PNP'], 'MMBTA93L': ['PNP']}",Missing part.,,Bot
FN,ONSEMICONDUCTOR_MMBTA06WT1G,SMMBTA06W,NPN,"Entity parts: {'MMBTA06WT1G': ['NPN'], 'MMBTA06W': ['NPN'], 'SMMBTA06WT3G': ['NPN'], 'SMMBTA06WT1G': ['NPN']}",Missing part.,,Bot
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUATXV,NPN,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.,Missing doc.,,Bot
FN,SANKEN_2SD2083,2SD2083,NPN,Entities do not have doc SANKEN_2SD2083.,Missing doc.,,Bot
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUA,NPN,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.,Missing doc.,,Bot
FN,SANKEN_2SC4886,2SC4886,NPN,Entities do not have doc SANKEN_2SC4886.,Missing doc.,,Bot
FN,MICROSEMICORPORATION_2N2484UB,2N2484UA,NPN,Entities do not have doc MICROSEMICORPORATION_2N2484UB.,Missing doc.,,Bot
FN,MICROSEMICORPORATION_2N2484UB,2N2484UBC,NPN,Entities do not have doc MICROSEMICORPORATION_2N2484UB.,Missing doc.,,Bot
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUATX,NPN,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.,Missing doc.,,Bot
FN,SANKEN_2SD2643,2SD2643,NPN,Entities do not have doc SANKEN_2SD2643.,Missing doc.,,Bot
FN,SANKEN_2SD2082,2SD2082,NPN,Entities do not have doc SANKEN_2SD2082.,Missing doc.,,Bot
FN,SANKEN_2SC5100,2SC5100,NPN,Entities do not have doc SANKEN_2SC5100.,Missing doc.,,Bot
