Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,DIODESINCORPORATED_FCX558TA,FCX558,400,Entity parts: {'FCX558TA': ['400']}
FN,MICROCOMMERCIALCO_MPSA92AP,MPSA92-BP,300,Entity parts: {'MPSA92-AP': ['300']}
FN,DIODESINCORPORATED_FZT758TC,FZT758,400,Entity parts: {'FZT758TA': ['400']}
FN,2N3906-D,2N3906,40,Entity parts: {'2N3906RL1G': ['40']}
FN,DIODESINCORPORATED_FZT651TC,FZT651,60,Entity parts: {'FZT651TC': ['60']}
FN,2N3906-D,2N3906RL1,40,Entity parts: {'2N3906RL1G': ['40']}
FN,CSEMS05382-1,BC547,45,Entity parts: {'BC546A': ['80']}
FN,BC818-40LT1-D,BC818-40L,25,Entity parts: {'BC818-40LT1G': ['25']}
FN,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92L,300,Entity parts: {'MMBTA93LT1G': ['200']}
FN,MICROCOMMERCIALCO_MPSA92AP,MPSA92,300,Entity parts: {'MPSA92-AP': ['300']}
FN,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFH,160,Entity parts: {'ZXTP23140BFHTA': ['140']}
FN,DIODS13249-1,BC817,45,Entity parts: {'BC817-16': ['45']}
FN,CSEMS05382-1,BC547C,45,Entity parts: {'BC546A': ['80']}
FN,DIODESINCORPORATED_FCX491ATA,FCX491A,40,Entity parts: {'FCX491ATA': ['40']}
FN,DIODESINCORPORATED_FCX555TA,FCX555TA,150,Entity vals: ['180']
FN,DIODESINCORPORATED_FCX555TA,FCX555,150,Entity parts: {'FCX555TA': ['180']}
FN,DIODESINCORPORATED_ZTX603STZ,ZTX602,60,Entity parts: {'ZTX603': ['80']}
FN,CSEMS05382-1,BC547B,45,Entity parts: {'BC546A': ['80']}
FN,CSEMS05382-1,BC546B,65,Entity parts: {'BC546A': ['80']}
FN,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFHTA,160,Entity vals: ['140']
FN,DIODS13249-1,BC818,25,Entity parts: {'BC817-16': ['45']}
FN,DIODS13249-1,BC817-40,45,Entity parts: {'BC817-16': ['45']}
FN,MICROCOMMERCIALCO_MPSA92AP,MPSA92-AP-HF,300,Entity parts: {'MPSA92-AP': ['300']}
FN,BC818-40LT1-D,NSVBC818-40L,25,Entity parts: {'BC818-40LT1G': ['25']}
FN,CSEMS05382-1,BC548,30,Entity parts: {'BC546A': ['80']}
FN,DIODS13249-1,BC818-25,25,Entity parts: {'BC817-16': ['45']}
FN,DIODS13249-1,BC817-25,45,Entity parts: {'BC817-16': ['45']}
FN,CSEMS05382-1,BC548B,30,Entity parts: {'BC546A': ['80']}
FN,MICROSEMIIREDIVISION_JAN2N918UB,2N918,15,Entity parts: {'2N918UB': ['15']}
FN,DIODESINCORPORATED_FCX491ATA,FCX491AQTA,40,Entity parts: {'FCX491ATA': ['40']}
FN,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93L,200,Entity parts: {'MMBTA93LT1G': ['200']}
FN,CSEMS05382-1,BC546,65,Entity parts: {'BC546A': ['80']}
FN,CSEMS05382-1,BC548C,30,Entity parts: {'BC546A': ['80']}
FN,2N3906-D,2N3906RLRM,40,Entity parts: {'2N3906RL1G': ['40']}
FN,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92L,300,Entity parts: {'MMBTA93LT1G': ['200']}
FN,DIODESINCORPORATED_FCX705TA,FCX705,120,Entity parts: {'FCX705TA': ['120']}
FN,CSEMS05382-1,BC547A,45,Entity parts: {'BC546A': ['80']}
FN,DIODS13249-1,BC818-16,25,Entity parts: {'BC817-16': ['45']}
FN,2N3906-D,2N3906RLRP,40,Entity parts: {'2N3906RL1G': ['40']}
FN,CSEMS05382-1,BC546A,65,Entity vals: ['80']
FN,CSEMS05382-1,BC548A,30,Entity parts: {'BC546A': ['80']}
FN,DIODS13249-1,BC818-40,25,Entity parts: {'BC817-16': ['45']}
FN,MICROCOMMERCIALCO_MPSA92AP,MPSA92-BP-HF,300,Entity parts: {'MPSA92-AP': ['300']}
FP,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFHTA,140,Gold parts: {'ZXTP23140BFH': ['160']}
FP,CSEMS05382-1,BC546A,80,Gold parts: {'BC547': ['45']}
FP,DIODESINCORPORATED_FCX555TA,FCX555TA,180,Gold vals: ['150']
